
2024/12/18 (01:12:00) | ===> btop++ v.1.4.0
2024/12/18 (01:12:00) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/20 (21:03:15) | ===> btop++ v.1.4.0
2024/12/20 (21:03:15) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/02 (20:47:46) | ===> btop++ v.1.4.0
2025/01/02 (20:47:46) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/04 (03:47:47) | ===> btop++ v.1.4.0
2025/01/04 (03:47:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/21 (13:18:42) | ===> btop++ v.1.4.0
2025/01/21 (13:18:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/22 (10:16:39) | ===> btop++ v.1.4.0
2025/01/22 (10:16:39) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/27 (14:25:23) | ===> btop++ v.1.4.0
2025/01/27 (14:25:23) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/28 (20:08:27) | ===> btop++ v.1.4.0
2025/01/28 (20:08:27) | WARNING: Intel GPU: Failed to initialize PMU
2025/01/28 (22:41:27) | ERROR: Stall in Runner thread, restarting!
2025/01/28 (22:42:52) | ERROR: Stall in Runner thread, restarting!

2025/01/28 (23:07:03) | ===> btop++ v.1.4.0
2025/01/28 (23:07:03) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/28 (23:19:51) | ===> btop++ v.1.4.0
2025/01/28 (23:19:51) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/03 (10:31:38) | ===> btop++ v.1.4.0
2025/02/03 (10:31:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/03 (21:23:57) | ===> btop++ v.1.4.0
2025/02/03 (21:23:57) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/09 (01:08:54) | ===> btop++ v.1.4.0
2025/02/09 (01:08:54) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/11 (16:51:09) | ===> btop++ v.1.4.0
2025/02/11 (16:51:09) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/14 (18:03:28) | ===> btop++ v.1.4.0
2025/02/14 (18:03:28) | WARNING: Intel GPU: Failed to initialize PMU
